Monument,Label,CorpusRef
urn:cite:shot:epigmon.obj1,"Edict of Julian, Athens Epigraphic Museum",
urn:cite:shot:epigmon.obj2,Fortress at Pylos,
urn:cite:shot:epigmon.obj3,Dedication of Domitian at Delphi,"CIL 03, 14203, 24"
urn:cite:shot:epigmon.obj4,Dedication of L. Aemilius at Delphi,CIL 1^2.622
urn:cite:shot:epigmon.obj5,Object 1 from Roman barracks at Caerleon,
urn:cite:shot:epigmon.obj6,Object 2 from Roman barracks at Caerleon,RIB 0330
urn:cite:shot:epigmon.obj7,Object 3 from Roman barracks at Caerleon,
urn:cite:shot:epigmon.obj8,Object 4 from Roman barracks at Caerleon,
urn:cite:shot:epigmon.obj9,Object 5 from Roman barracks at Caerleon,
urn:cite:shot:epigmon.obj10,Object 6 from Roman barracks at Caerleon,
urn:cite:shot:epigmon.obj11,Gate entering St. Peter's Square,
urn:cite:shot:epigmon.obj12,Obelisk in St. Peter's Square,
urn:cite:shot:epigmon.obj13,Bridge of Angels in Rome,
urn:cite:shot:epigmon.obj14,Pantheon,CIL 6.896
urn:cite:shot:epigmon.obj15,Temple of Antoninus and Faustina,
urn:cite:shot:epigmon.obj16,Statue base 1 in the Garden of the Vestal Virgins,
urn:cite:shot:epigmon.obj17,Statue base 2 in the Garden of the Vestal Virgins,
urn:cite:shot:epigmon.obj18,Arch of Septimius Severus,CIL 6.1033
urn:cite:shot:epigmon.obj19,Shop in Herculaneum,
urn:cite:shot:epigmon.obj20,Object 1 now located in Montecassino,
urn:cite:shot:epigmon.obj21,Object 2 now located in Montecassino,
urn:cite:shot:epigmon.obj22,Object 3 now located in Montecassino,
urn:cite:shot:epigmon.obj23,Object 4 now located in Montecassino,"CIL 10, 05178"
urn:cite:shot:epigmon.obj24,Object 5 now located in Montecassino,
urn:cite:shot:epigmon.obj25,Object 6 now located in Montecassino,
urn:cite:shot:epigmon.obj26,Object 7 now located in Montecassino,
urn:cite:shot:epigmon.obj27,Object 8 now located in Montecassino,
urn:cite:shot:epigmon.obj28,Object 9 now located in Montecassino,
urn:cite:shot:epigmon.obj29,Object 10 now located in Montecassino,
urn:cite:shot:epigmon.obj30,Object 11 now located in Montecassino,
urn:cite:shot:epigmon.obj31,Object 12 now located in Montecassino,
urn:cite:shot:epigmon.obj32,Pons Fabricius,CIL 1^2.751
urn:cite:shot:epigmon.obj33,Statue base 1 now located in the Vatican Museums,
urn:cite:shot:epigmon.obj34,Statue base 2 now located in the Vatican Museums,
urn:cite:shot:epigmon.obj35,Statue base 3 now located in the Vatican Museums,
urn:cite:shot:epigmon.obj36,Statue base 4 now located in the Vatican Museums,
urn:cite:shot:epigmon.obj37,Statue base 5 now located in the Vatican Museums,
urn:cite:shot:epigmon.obj38,Statue base 6 now located in the Vatican Museums,
urn:cite:shot:epigmon.obj39,Fresco now located in the Vatican Museums,
urn:cite:shot:epigmon.obj40,Gate at Piazza del Popolo in Rome,
urn:cite:shot:epigmon.obj41,Statue base 1 from Ostia Antica,"CIL 14, 04324"
urn:cite:shot:epigmon.obj42,Shop mosaic 1 in Ostia Antica,"AE 1913, 0114"
urn:cite:shot:epigmon.obj43,Shop mosaic 2 in Ostia Antica,
urn:cite:shot:epigmon.obj44,Shop mosaic 3 in Ostia Antica,
urn:cite:shot:epigmon.obj45,Shop mosaic 4 in Ostia Antica,"AE 1917/18, 0110"
urn:cite:shot:epigmon.obj46,Statue base 2 from Ostia Antica,
urn:cite:shot:epigmon.obj47,Statue base 3 from Ostia Antica,
urn:cite:shot:epigmon.obj48,Dedication at the theater in Ostia Antica,"CIL 14, 00114"
urn:cite:shot:epigmon.obj49,Altar to Venus in Ostia Antica,
urn:cite:shot:epigmon.obj50,House in Ostia Antica,
urn:cite:shot:epigmon.obj51,Inscription now located by the colossal head of Constantine in the Capitoline Museum,
urn:cite:shot:epigmon.obj52,Coffin in the Capitoline Museum,
urn:cite:shot:epigmon.obj53,Obelisk of the Horologium of Augustus,
urn:cite:shot:epigmon.obj54,Temple of Saturn,
urn:cite:shot:epigmon.obj55,Unidentified inscription 1 now located in the Colosseum,
urn:cite:shot:epigmon.obj56,Altar to Isis now located in the Colosseum,
urn:cite:shot:epigmon.obj57,Unidentified inscription from Ostia,
urn:cite:shot:epigmon.obj58,Gerusiarch inscription from Castel Porziano,"AE 1907, 0206"
urn:cite:shot:epigmon.obj59,Unidentified inscription 2 now located in the Colosseum,
urn:cite:shot:epigmon.obj60,Dedication at the theater in Pompeii,CIL 1^2.1633
urn:cite:shot:epigmon.obj61,Shop in Pompeii,
urn:cite:shot:epigmon.obj62,Inscription at the amphitheater in Pompeii,
urn:cite:shot:epigmon.obj63,House in Pompeii,
urn:cite:shot:epigmon.obj64,Coffin in the Naples Archeological Museum,
urn:cite:shot:epigmon.obj65,Dedication at the Temple of Isis,
urn:cite:shot:epigmon.obj66,Object 1 now located in Naples Archeological Museum,"AE 1910, 0036"
urn:cite:shot:epigmon.obj67,Object 2 now located in Naples Archeological Museum,
urn:cite:shot:epigmon.obj68,Object 3 now located in Naples Archeological Museum,
urn:cite:shot:epigmon.obj69,Object 4 now located in Naples Archeological Museum,
urn:cite:shot:epigmon.obj70,Object 5 now located in Naples Archeological Museum,
urn:cite:shot:epigmon.obj71,Object 6 now located in Naples Archeological Museum,
urn:cite:shot:epigmon.obj72,Object 7 now located in Naples Archeological Museum,
urn:cite:shot:epigmon.obj73,Object 8 now located in Naples Archeological Museum,
urn:cite:shot:epigmon.obj74,Object 9 now located in Naples Archeological Museum,
urn:cite:shot:epigmon.obj75,Object 10 now located in Naples Archeological Museum,
urn:cite:shot:epigmon.obj76,Object 11 now located in Naples Archeological Museum,
