ref,person,number,tense,mood,voice
urn:cite:hclat:verbAnalyses.2,,"singular","perfect","participle","passive"
urn:cite:hclat:verbAnalyses.3,,"singular","perfect","participle","passive"
urn:cite:hclat:verbAnalyses.4,"1st","singular","present","indicative","active"
urn:cite:hclat:verbAnalyses.10,,"plural","perfect","participle","passive"
urn:cite:hclat:verbAnalyses.11,,"singular","perfect","participle","passive"
urn:cite:hclat:verbAnalyses.12,,"singular","perfect","participle","passive"
urn:cite:hclat:verbAnalyses.9,,"plural","perfect","participle","passive"
urn:cite:hclat:verbAnalyses.13,"3rd","singular","perfect","indicative","active"
urn:cite:hclat:verbAnalyses.14,"2nd","singular","present","indicative","active"
urn:cite:hclat:verbAnalyses.15,"2nd","singular","present","subjunctive","active"
urn:cite:hclat:verbAnalyses.16,"3rd","singular","present","indicative","active"
urn:cite:hclat:verbAnalyses.17,"2nd","singular","present","indicative","active"
urn:cite:hclat:verbAnalyses.18,,"singular","perfect","participle","passive"
urn:cite:hclat:verbAnalyses.19,,"singular","perfect","participle","passive"
urn:cite:hclat:verbAnalyses.20,,"singular","perfect","participle","passive"
urn:cite:hclat:verbAnalyses.21,,"singular","perfect","participle","passive"
urn:cite:hclat:verbAnalyses.22,,"singular","perfect","participle","passive"
urn:cite:hclat:verbAnalyses.23,"1st","singular","perfect","indicative","active"
urn:cite:hclat:verbAnalyses.24,"2nd","singular","present","imperative","active"
urn:cite:hclat:verbAnalyses.25,"2nd","singular","present","imperative","active"
urn:cite:hclat:verbAnalyses.26,,"singular","perfect","participle","passive"
urn:cite:hclat:verbAnalyses.27,,"singular","perfect","participle","passive"
urn:cite:hclat:verbAnalyses.28,,"singular","perfect","participle","passive"
urn:cite:hclat:verbAnalyses.29,,"singular","perfect","participle","passive"
urn:cite:hclat:verbAnalyses.30,,"singular","perfect","participle","passive"
urn:cite:hclat:verbAnalyses.31,,"singular","perfect","participle","passive"
urn:cite:hclat:verbAnalyses.38,,"plural","perfect","participle","passive"
urn:cite:hclat:verbAnalyses.39,,"plural","perfect","participle","passive"
urn:cite:hclat:verbAnalyses.40,,"plural","perfect","participle","passive"
urn:cite:hclat:verbAnalyses.41,,"singular","perfect","participle","passive"
urn:cite:hclat:verbAnalyses.42,,"singular","perfect","participle","passive"
urn:cite:hclat:verbAnalyses.43,"1st","singular","perfect","indicative","active"
urn:cite:hclat:verbAnalyses.46,,,"present","infinitive","passive"
urn:cite:hclat:verbAnalyses.51,"3rd","singular","perfect","indicative","active"
urn:cite:hclat:verbAnalyses.52,,"singular","perfect","participle","passive"
urn:cite:hclat:verbAnalyses.53,,"singular","perfect","participle","passive"
urn:cite:hclat:verbAnalyses.54,,"singular","perfect","participle","passive"
urn:cite:hclat:verbAnalyses.55,,"singular","perfect","participle","passive"
urn:cite:hclat:verbAnalyses.56,,,,"supine",
urn:cite:hclat:verbAnalyses.57,,"plural","perfect","participle","passive"
urn:cite:hclat:verbAnalyses.58,,"plural","perfect","participle","passive"
urn:cite:hclat:verbAnalyses.59,,"singular","perfect","participle","passive"
urn:cite:hclat:verbAnalyses.60,,"singular","perfect","participle","passive"
urn:cite:hclat:verbAnalyses.61,,"singular","perfect","participle","passive"
urn:cite:hclat:verbAnalyses.62,,"singular","perfect","participle","passive"
urn:cite:hclat:verbAnalyses.63,"1st","singular","present","indicative","active"
